names.geno	Entry	Lines	stp2012	stp2012.sev	stp2012.it	stp2012.coi	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2014.sev	stp2014.it	stp2014.coi	stp2015	stp2015.sev	stp2015.it	stp2015.coi	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
MARSHALL	Marshall		10MRMS	10.00	0.53	5.30	10MRMS	10.00	0.53	5.30	20 MRMS	20.00	0.53	10.60	30MSS	30.00	0.87	26.10	20MS	20.00	0.80	16.00	0;	;	3+	8	12	10
CRIM	Crim		30MRMS	30.00	0.53	15.90	-	NA	NA	NA	-	NA	NA	NA	-Missing	NA	NA	NA	40MRMS	40.00	0.53	21.20	0;	;1	0	-	5	5
OXEN	Oxen		30MRMS	30.00	0.53	15.90	10MRMS	10.00	0.53	5.30	30 MS	30.00	0.80	24.00	40MS	40.00	0.80	32.00	20MS	20.00	0.80	16.00	0	0;	3+;	4	4	4
THATCHER	Thatcher		80S	80.00	1.00	80.00	50S	50.00	1.00	50.00	70 S	70.00	1.00	70.00	70S	70.00	1.00	70.00	90S	90.00	1.00	90.00	3+	3+	4	6	12	9
MARQUIS	Marquis		70S	70.00	1.00	70.00	50S	50.00	1.00	50.00	50 MSS	50.00	0.87	43.50	50MRMS	50.00	0.53	26.50	90S	90.00	1.00	90.00	3+	2+	3+	6	12	9
LITTLE_CLUB	Little Club		90S	90.00	1.00	90.00	60S	60.00	1.00	60.00	80 S	80.00	1.00	80.00	100S	100.00	1.00	100.00	90S	90.00	1.00	90.00	3+	3+	3+	-	-	-
BAART	Baart		60S	60.00	1.00	60.00	40S	40.00	1.00	40.00	80 S	80.00	1.00	80.00	50MS	50.00	0.80	40.00	70S	70.00	1.00	70.00	3	3+	3+	14	15	14.5
WESTPHAL12A	Westphal 12A		30MS	30.00	0.80	24.00	5S	5.00	1.00	5.00	40 MS	40.00	0.80	32.00	20RMR	20.00	0.27	5.40	5MS	5.00	0.80	4.00	3+	3+	4	18	18	18
TOROPI	Toropi		5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	3+	3+	3+	8	1	4.5
FRONTANA	Frontana		5R	5.00	0.20	1.00	5S	5.00	1.00	5.00	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	5RMR	5.00	0.27	1.35	3+	;1	3+;	16	17	16.5
TERENZIO	Terenzio		10MS	10.00	0.80	8.00	5S	5.00	1.00	5.00	50 MS	50.00	0.80	40.00	30MS	30.00	0.80	24.00	40MS	40.00	0.80	32.00	;	0;	;2+3	10	12	11
AMERICANO26N	Americano 26N		10MS	10.00	0.80	8.00	30S	30.00	1.00	30.00	50 MSS	50.00	0.87	43.50	40MS	40.00	0.80	32.00	20MS	20.00	0.80	16.00	3	;	3+	20	17	18.5
E_TARARIRAS	E. Tarariras	B.G	-	NA	NA	NA	10S	10.00	1.00	10.00	50 MSS	50.00	0.87	43.50	70S	70.00	1.00	70.00	50MS	50.00	0.80	40.00	;	0;	3+	6	4	5
ESTANZUELA_CALANDRIA	E. Calandria	LE2042 B.G	-	NA	NA	NA	-	NA	NA	NA	20 MRMS	20.00	0.53	10.60	10MSS	10.00	0.87	8.70	30MRMS	30.00	0.53	15.90	0;	0;	3+	4	12	8
ESTANZUELA_FEDERAL	E. Federal	B.G	-	NA	NA	NA	-	NA	NA	NA	TR	2.00	0.20	0.40	20MS	20.00	0.80	16.00	10RMR	10.00	0.27	2.70	;1-	;	3+;	22	-	22
ESTANZUELA_BENTEVEO	E. Benteveo	B.G	-	NA	NA	NA	-	NA	NA	NA	10 R	10.00	0.20	2.00	10RMR	10.00	0.27	2.70	5RMR	5.00	0.27	1.35	0;	;	;2+	8	12	10
ESTANZUELA_PELON90	E. Pelón 90	R03-9043	-	NA	NA	NA	TR	2.00	0.20	0.40	20 R	20.00	0.20	4.00	TR	2.00	0.20	0.40	5MS	5.00	0.80	4.00	0	;	3+;	14	12	13
ESTANZUELA_HALCON	E. Halcón	B.G	20MRMS	20.00	0.53	10.60	30S	30.00	1.00	30.00	30 MRMS	30.00	0.53	15.90	20MSS	20.00	0.87	17.40	40MS	40.00	0.80	32.00	;	;1	;3	10	12	11
INIA_BOYERO	I. Boyero	B.G	5MR	5.00	0.40	2.00	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	5R	5.00	0.20	1.00	5MR	5.00	0.40	2.00	;	;	;2	14	19	16.5
INIA_MIRLO	I. Mirlo	R11-3667	TRMR	2.00	0.27	0.54	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	TR	2.00	0.20	0.40	5MR	5.00	0.40	2.00	0;	0;	;2+3	12	12	12
INIA_TIJERETA	I. Tijereta	R.ANO 2010	5MS	5.00	0.80	4.00	5MSS	5.00	0.87	4.35	-	NA	NA	NA	-Missing	NA	NA	NA	30MS	30.00	0.80	24.00	0	0;	;3+	-	12	12
INIA_CABURE	I. Caburé	R11-3669	-	NA	NA	NA	30MSS	30.00	0.87	26.10		NA	NA	NA	-	NA	NA	NA	-	NA	NA	NA	;	0;	3+	-	-	-
INIA_GORRION	I. Gorrión	R10-13501	-	NA	NA	NA	TR	2.00	0.20	0.40		NA	NA	NA	10M	10.00	0.60	6.00	-	NA	NA	NA	2+	;	;23	-	-	-
INIA_CHURRINCHE	I. Churrinche	R10-13502	5MR	5.00	0.40	2.00	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	T5	25.00	NA	NA	10RMR	10.00	0.27	2.70	0;	0;	;3	8	12	10
INIA_TORCAZA	I. Torcaza	R11-3674	-	NA	NA	NA	5S	5.00	1.00	5.00	TR	2.00	0.20	0.40	20M	20.00	0.60	12.00	10RMR	10.00	0.27	2.70	-	-	3+;	12	7	9.5
INIA_TERO	I. Tero	R11-3671	5MR	5.00	0.40	2.00	TR	2.00	0.20	0.40	10 M	10.00	0.60	6.00	5R	5.00	0.20	1.00	5R	5.00	0.20	1.00	0	0;	;	8	14	11
INIA_CARANCHO	I. Carancho	B.G	-	NA	NA	NA	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	;	0;	;23+	6	4	5
INIA_GARZA	I. Garza	R10-13503	-	NA	NA	NA	-	NA	NA	NA		NA	NA	NA	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	;	0;	3+;	14	12	13
INIA_DON_ALBERTO	I. Don Alberto	R10-13545	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	5MRMS	5.00	0.53	2.65	10RMR	10.00	0.27	2.70	;	0;	3+	12	18	15
INIA_CARPINTERO	I. Carpintero	R10-13547	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	;	0;	;	18	19	18.5
INIA_MADRUGADOR	I. Madrugador	R10-13546	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	20MRMS	20.00	0.53	10.60	20RMR	20.00	0.27	5.40	;1-	;	;2	4	1	2.5
INIA_CHIMANGO	I. Chimango	R10-13538	TR	2.00	0.20	0.40	10MSS	10.00	0.87	8.70	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	;	;	3+	4	12	8
BUCK_MANANTIAL	Buck Manantial	R03-2020	10MR	10.00	0.40	4.00	10MS	10.00	0.80	8.00	30 MRMS	30.00	0.53	15.90	10MRMS	10.00	0.53	5.30	10RMR	10.00	0.27	2.70	0;	0;	;2	0	5	2.5
BUCK_PANGARE	Buck Pangare	B.G	50MS	50.00	0.80	40.00	30S	30.00	1.00	30.00	20 M	20.00	0.60	12.00	5RMR	5.00	0.27	1.35	10RMR	10.00	0.27	2.70	3+	;1	3+	8	5	6.5
BUCK_TANDIL	Buck Tandil		-	NA	NA	NA	-	NA	NA	NA	-	NA	NA	NA	ww	NA	NA	NA	-	NA	NA	NA	;	;	-	-	-	-
FAVORITO	Klein Favorito			NA	NA	NA		NA	NA	NA	-	NA	NA	NA	ww	NA	NA	NA	50S	50.00	1.00	50.00	;	;1	-	-	-	-
BUCK_PONCHA	Buck Poncho	R03-2028	5MR	5.00	0.40	2.00	5MR	5.00	0.40	2.00	5 R	5.00	0.20	1.00	5R	5.00	0.20	1.00	10MRMS	10.00	0.53	5.30	;	;	2	22	12	17
BUCK_PUCARA	Buck Pucara	R03-1974	40MRMS	40.00	0.53	21.20	10MRMS	10.00	0.53	5.30	10 MR	10.00	0.40	4.00	25MRMS	25.00	0.53	13.25	10RMR	10.00	0.27	2.70	;	0;	3+		0	0
BUCK_QUEQUEN	Buck Quequen		50MS	50.00	0.80	40.00	5MS	5.00	0.80	4.00	40 MS	40.00	0.80	32.00	60MSS	60.00	0.87	52.20	10MS	10.00	0.80	8.00	3+	3+	3+	22	-	22
LE504	LE 504		10MRMS	10.00	0.53	5.30	TR	2.00	0.20	0.40	-	NA	NA	NA	70S	70.00	1.00	70.00	40MS	40.00	0.80	32.00	-	-	-	8	4	6
LE2094	LE 2094		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	0;	;	;3	2	4	3
LE1787	LE 1787		-	NA	NA	NA	20MSS	20.00	0.87	17.40	-	NA	NA	NA	-Missing	NA	NA	NA	-	NA	NA	NA	-	-	-	-	-	-
LE1091	LE 1091		-	NA	NA	NA	TR	2.00	0.20	0.40	-	NA	NA	NA	20M	20.00	0.60	12.00	-	NA	NA	NA	-	-	-	8	-	8
LE_1474	LE 1474		50MRMS	50.00	0.53	26.50	20MRMS	20.00	0.53	10.60	40 MR	40.00	0.40	16.00	40MRMS	40.00	0.53	21.20	50MRMS	50.00	0.53	26.50	;	0;	3+	4	5	4.5
LE_435	LE 435		40MRMS	40.00	0.53	21.20	5MS	5.00	0.80	4.00	20 RMR	20.00	0.27	5.40	50MS	50.00	0.80	40.00	40MS	40.00	0.80	32.00	;12-	0;	4	-	12	12
ANZA	Anza		80MS	80.00	0.80	64.00	20MSS	20.00	0.87	17.40	80 S	80.00	1.00	80.00	80S	80.00	1.00	80.00	60MSS	60.00	0.87	52.20	3+	;12-	4	4	12	8
CONDOR	Condor		40MS	40.00	0.80	32.00	30MSS	30.00	0.87	26.10	60 MSS	60.00	0.87	52.20	50MS	50.00	0.80	40.00	60MSS	60.00	0.87	52.20	3+	3+	3+	4	12	8
CRESPO63	Crespo 63		50MS	50.00	0.80	40.00	60S	60.00	1.00	60.00	80 S	80.00	1.00	80.00	50MSS	50.00	0.87	43.50	50MRMS	50.00	0.53	26.50	3+	-	-	6	12	9
CLEOPATRA	Cleopatra		10RMR	10.00	0.27	2.70	5MR	5.00	0.40	2.00	5 R	5.00	0.20	1.00	20MRMS	20.00	0.53	10.60	40RMR	40.00	0.27	10.80	-	-	-	16	12	14
CHOLI	Choli		20MRMS	20.00	0.53	10.60	5MS	5.00	0.80	4.00	30 MRMS	30.00	0.53	15.90	50MS	50.00	0.80	40.00	10MS	10.00	0.80	8.00	3+	3+	-	2	4	3
CHENAB70	Chenab 70		80S	80.00	1.00	80.00	50S	50.00	1.00	50.00	80 S	80.00	1.00	80.00	70S	70.00	1.00	70.00	80S	80.00	1.00	80.00	0;	0;	-	12	4	8
BONANZA	Bonanza		20MR	20.00	0.40	8.00	5MS	5.00	0.80	4.00	30 MR	30.00	0.40	12.00	40MRMS	40.00	0.53	21.20	-	NA	NA	NA	-	-	-	4	-	4
AZTECA67	Azteca 67		30MRMS	30.00	0.53	15.90	-	NA	NA	NA	20 MR	20.00	0.40	8.00	30MRMS	30.00	0.53	15.90	20RMR	20.00	0.27	5.40	3+	;1	3+	4	4	4
ANAHUAC_75	Anahuac 75		-	NA	NA	NA	10MS	10.00	0.80	8.00	-	NA	NA	NA	-Missing	NA	NA	NA	-	NA	NA	NA	;	-	-	-	-	-
TESOPACO_76	Tesopaco 76		-	NA	NA	NA	TR	2.00	0.20	0.40	-	NA	NA	NA	-Missing	NA	NA	NA	-	NA	NA	NA	-	-	-	-	-	-
ROQUE73	Roque 73		80MS	80.00	0.80	64.00	-	NA	NA	NA	30 MRMS	30.00	0.53	15.90	60MS	60.00	0.80	48.00	30MRMS	30.00	0.53	15.90	;	;	3+;	0	0	0
QUETZAL75	Quetzal 75		5MR	5.00	0.40	2.00	10MS	10.00	0.80	8.00	50 MS	50.00	0.80	40.00	60MSS	60.00	0.87	52.20	60S	60.00	1.00	60.00	-	;	-	6	12	9
NAPO63	Napo 63		60MS	60.00	0.80	48.00	-	NA	NA	NA	30 MRMS	30.00	0.53	15.90	60MS	60.00	0.80	48.00	-	NA	NA	NA	3+	3	3+	2	5	3.5
NOWESTA	Nowesta 		20MS	20.00	0.80	16.00	10MRMS	10.00	0.53	5.30	10 RMR	10.00	0.27	2.70	30MS	30.00	0.80	24.00	5RMR	5.00	0.27	1.35	;	;	;2	4	12	8
OLLANTA	Ollanta		60S	60.00	1.00	60.00	10S	10.00	1.00	10.00	40 MRMS	40.00	0.53	21.20	80S	80.00	1.00	80.00	50MRMS	50.00	0.53	26.50	3+	3	-	4	5	4.5
LERMA_ROJO64	Lerma Rojo 64		70S	70.00	1.00	70.00	-	NA	NA	NA	50 MS	50.00	0.80	40.00	40MS	40.00	0.80	32.00	60S	60.00	1.00	60.00	;2	;	3+	4	0	2
JARAL66	Jaral 66		-	NA	NA	NA	-	NA	NA	NA	-	NA	NA	NA	70S	70.00	1.00	70.00	70S	70.00	1.00	70.00	-	-	-	4	0	2
INIA66	Inia 66		70S	70.00	1.00	70.00	40MRMS	40.00	0.53	21.20	50 MS	50.00	0.80	40.00	70S	70.00	1.00	70.00	70S	70.00	1.00	70.00	-	;	3+	4	0	2
GIZA155	Giza 155		20MS	20.00	0.80	16.00	10S	10.00	1.00	10.00	-	NA	NA	NA	50MS	50.00	0.80	40.00	5MS	5.00	0.80	4.00	3+	;	3+	-	0	0
SONALIKA	Sonalika		80S	80.00	1.00	80.00	-	NA	NA	NA	60 MR	60.00	0.40	24.00	80S	80.00	1.00	80.00	70S	70.00	1.00	70.00	3+	;1	3+	6	0	3
GLENNSON	Glennson		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	5RMR	5.00	0.27	1.35	5R	5.00	0.20	1.00	0;	0;	;2	16	12	14
MARIA_ESCOBAR	Maria Escobar		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	30 MSS	30.00	0.87	26.10	50MS	50.00	0.80	40.00	5MS	5.00	0.80	4.00	;	;	3+	14	12	13
DELICIAS	Delicias		30RMR	30.00	0.27	8.10	20RMR	20.00	0.27	5.40	40 MR	40.00	0.40	16.00	20RMR	20.00	0.27	5.40	60MS	60.00	0.80	48.00	;	;	3+	14	5	9.5
CARBOREA	Carborca		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	5R	5.00	0.20	1.00	20MRMS	20.00	0.53	10.60	3+	;	;2+	6	5	5.5
BAGE	Bage		10MS	10.00	0.80	8.00	20S	20.00	1.00	20.00	30 MRMS	30.00	0.53	15.90	20MS	20.00	0.80	16.00	20MS	20.00	0.80	16.00	0;	;	3+	4	10	7
TEZANOS_PINTOS_PRECOZ	Tezanos Pintos Precos		20MRMS	20.00	0.53	10.60	10MR	10.00	0.40	4.00	20 MR	20.00	0.40	8.00	40MRMS	40.00	0.53	21.20	20MRMS	20.00	0.53	10.60	0;	0;	3+	4	5	4.5
KENYA_PAGE_II	Kenya Page II		10RMR	10.00	0.27	2.70	5R	5.00	0.20	1.00	10 MR	10.00	0.40	4.00	10R	10.00	0.20	2.00	TR	2.00	0.20	0.40	3+	;1	4	4	5	4.5
GAZA	Gaza		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	;	;2-	2+	8	12	10
EGYPT_2100	Egypt 2100		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	-	NA	NA	NA	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	-	3+	;3+	10	14	12
CHINESE	Chinese		-	NA	NA	NA	10MSS	10.00	0.87	8.70	-	NA	NA	NA	ww	NA	NA	NA	40MS	40.00	0.80	32.00	3+	3+	-	-	-	-
AFRICAN_MAYO	African Mayo		80S	80.00	1.00	80.00	40S	40.00	1.00	40.00	40 MRMS	40.00	0.53	21.20	50MS	50.00	0.80	40.00	60MS	60.00	0.80	48.00	3+	;1	4	4	7	5.5
WAMPUM	Wampum		10RMR	10.00	0.27	2.70	10MS	10.00	0.80	8.00	40 MRMS	40.00	0.53	21.20	40MRMS	40.00	0.53	21.20	30MRMS	30.00	0.53	15.90	;12	22+	3+	8	12	10
RIVAL	Rival		-	NA	NA	NA	30MS	30.00	0.80	24.00	50 MRMS	50.00	0.53	26.50	-Missing	NA	NA	NA	-	NA	NA	NA	-	;2	-	-	-	-
WARIGO	Warigo		50MSS	50.00	0.87	43.50	40MRMS	40.00	0.53	21.20	50 MS	50.00	0.80	40.00	60S	60.00	1.00	60.00	60MS	60.00	0.80	48.00	3+	-	-	-	19	19
ANIVERSARIO	Aniversario		40MS	40.00	0.80	32.00	10MS	10.00	0.80	8.00	20 MS	20.00	0.80	16.00	10MRMS	10.00	0.53	5.30	20MS	20.00	0.80	16.00	;22+	;	;2+3	22	17	19.5
WEEBILL1	Weebill 1		5MR	5.00	0.40	2.00	10MRMS	10.00	0.53	5.30	10 MR	10.00	0.40	4.00	5RMR	5.00	0.27	1.35	5R	5.00	0.20	1.00	3+	;12-	3+	14	5	9.5
VESTA	Vesta		90S	90.00	1.00	90.00	70S	70.00	1.00	70.00	50 MR	50.00	0.40	20.00	60MS	60.00	0.80	48.00	80S	80.00	1.00	80.00	3+	3+	3+	6	14	10
VEADEIRO	Veadeiro		-	NA	NA	NA	-	NA	NA	NA		NA	NA	NA	ww	NA	NA	NA	-	NA	NA	NA	3+	3+	3+	-	-	-
WHITE_FEDERATION	White Federation		50MRMS	50.00	0.53	26.50	70S	70.00	1.00	70.00	20 MR	20.00	0.40	8.00	50S	50.00	1.00	50.00	60S	60.00	1.00	60.00	-	3+	-	10	18	14
GERARDO_594	Gerardo 594		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	20MRMS	20.00	0.53	10.60	5R	5.00	0.20	1.00	;12	3+	;2	16	14	15
SAWTANA	Sawtana		20MS	20.00	0.80	16.00	30MSS	30.00	0.87	26.10	10 MR	10.00	0.40	4.00	30MS	30.00	0.80	24.00	70S	70.00	1.00	70.00	3+	;12	3+	20	17	18.5
OVED_ZENATI	Oued Zenati 368		50S	50.00	1.00	50.00	20MRMS	20.00	0.53	10.60	50 MS	50.00	0.80	40.00	-	NA	NA	NA	70MS	70.00	0.80	56.00	3+	3+	4	-	12	12
SUPRESA	Supresa		40S	40.00	1.00	40.00	20MSS	20.00	0.87	17.40	40 MRMS	40.00	0.53	21.20	50S	50.00	1.00	50.00	30MRMS	30.00	0.53	15.90	3+	;	4	2	7	4.5
TITAN	Titan		30MS	30.00	0.80	24.00	5MS	5.00	0.80	4.00	30 MS	30.00	0.80	24.00	10MRMS	10.00	0.53	5.30	30MS	30.00	0.80	24.00	;12	;	3+2+	20	17	18.5
MARICOPA	Maricopa		-	NA	NA	NA	-	NA	NA	NA	80 S	80.00	1.00	80.00	ww	NA	NA	NA	80S	80.00	1.00	80.00	3+	-	3+	41	20	30.5
KLEIN_COMETA	Klein Cometa		20MR	20.00	0.40	8.00	40MSS	40.00	0.87	34.80	10 R	10.00	0.20	2.00	5R	5.00	0.20	1.00	20RMR	20.00	0.27	5.40	3+	;	3+	4	5	4.5
SURGUENTES_INTA	Surgentes INTA		90S	90.00	1.00	90.00	70S	70.00	1.00	70.00	80 S	80.00	1.00	80.00	80S	80.00	1.00	80.00	70S	70.00	1.00	70.00	;1	;12	4	4	4	4
HUELQUEN	Huelquen		40MS	40.00	0.80	32.00	60S	60.00	1.00	60.00	80 S	80.00	1.00	80.00	80S	80.00	1.00	80.00	50MS	50.00	0.80	40.00	;	3+	4	2	4	3
CURTIBA_2285	Curtiba 2285		20MRMS	20.00	0.53	10.60	20S	20.00	1.00	20.00	20 RMR	20.00	0.27	5.40	40MRMS	40.00	0.53	21.20	40MRMS	40.00	0.53	21.20	-	;1	4	6	12	9
DIAMANTE	Diamente		70MS	70.00	0.80	56.00	20S	20.00	1.00	20.00	60 MS	60.00	0.80	48.00	50MS	50.00	0.80	40.00	70MSS	70.00	0.87	60.90	-	;	4	4	4	4
EL_PATO	El Pato		20MS	20.00	0.80	16.00	5MS	5.00	0.80	4.00	30 MS	30.00	0.80	24.00	50S	50.00	1.00	50.00	50MS	50.00	0.80	40.00	0;	;	;3	4	4	4
TINAJONES	Tinajones		20RMR	20.00	0.27	5.40	5MSS	5.00	0.87	4.35	50 MR	50.00	0.40	20.00	20MRMS	20.00	0.53	10.60	20RMR	20.00	0.27	5.40	3+	3+	3+	4	5	4.5
PARTICIPACION	Participacion		-	NA	NA	NA	30MS	30.00	0.80	24.00		NA	NA	NA	ww	NA	NA	NA	-	NA	NA	NA	;	;	3+	41	-	41
SONKA_INTA	Sonka INTA		30MRMS	30.00	0.53	15.90	5MR	5.00	0.40	2.00	50 MR	50.00	0.40	20.00	40MRMS	40.00	0.53	21.20	30MRMS	30.00	0.53	15.90	0;	;	;23	4	4	4
SINVALOCHO_MA	Sinvalocho MA		40MRMS	40.00	0.53	21.20	TR	2.00	0.20	0.40	30 MR	30.00	0.40	12.00	30MS	30.00	0.80	24.00	5MRMS	5.00	0.53	2.65	3+	3+	4	8	12	10
CALDEN_INTA	Calden INTA		-	NA	NA	NA	-	NA	NA	NA	-	NA	NA	NA	-Missing	NA	NA	NA	-	NA	NA	NA	-	-	-	-	-	-
JACQUI	Jacqui		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	3+	3+	;3+	6	12	9
KLEIN_IMPACTO	Klein Impacto		-	NA	NA	NA	20S	20.00	1.00	20.00		NA	NA	NA	10RMR	10.00	0.27	2.70	-	NA	NA	NA	;	0;	3+;	18	-	18
PARAGUAY214	Paraqui 214		80S	80.00	1.00	80.00	60S	60.00	1.00	60.00	70 MS	70.00	0.80	56.00	50MS	50.00	0.80	40.00	-	NA	NA	NA	;	0;	3+	12	-	12
MARCO_JUAREZ	Marco Juarez		50MS	50.00	0.80	40.00	30S	30.00	1.00	30.00	30 MS	30.00	0.80	24.00	40MRMS	40.00	0.53	21.20	10MS	10.00	0.80	8.00	3+	;	3+	15	12	13.5
HUENUFEN	Huenufen		50MS	50.00	0.80	40.00	50S/TR	34.00	0.73	24.93	40 MSS	40.00	0.87	34.80	ww	NA	NA	NA	-	NA	NA	NA	-	-	3+	26	-	26
ITAPUA5	Itapua 5		80S/TR	54.00	0.73	39.60	40S	40.00	1.00	40.00	50 MR	50.00	0.40	20.00	60MS	60.00	0.80	48.00	30MRMS	30.00	0.53	15.90	2+	;	-	4	4	4
ESTANZUELA_DOLORES	E. Dolores		90S	90.00	1.00	90.00	30MRMS	30.00	0.53	15.90	50 MS	50.00	0.80	40.00	80S	80.00	1.00	80.00	70S	70.00	1.00	70.00	;	;	3+	4	4	4
ESTANZUELA_DAKURU	E. Dakuru		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	20 MS	20.00	0.80	16.00	10RMR	10.00	0.27	2.70	5R	5.00	0.20	1.00	;	3+	-	2	4	3
E_DORADO	E. Dorado		50S	50.00	1.00	50.00	5S	5.00	1.00	5.00	40 MS	40.00	0.80	32.00	60S	60.00	1.00	60.00	-	NA	NA	NA	0	0	-	6	-	6
GERARDO_594	Gerardo 594		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10RMR	10.00	0.27	2.70	TR	2.00	0.20	0.40	;12	3+	;2+	18	15	16.5
GLOSSY_HUGENOT	Glossy Hugenot		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	-	NA	NA	NA	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	3+	3+	3+	12	6	9
HERCULES	Hercules		TR	2.00	0.20	0.40	5MRMS	5.00	0.53	2.65	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5RMR	5.00	0.27	1.35	3+	-	3+	18	13	15.5
DUROS_BORDOS	Duros Bordos		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	-	NA	NA	NA	3	-	-	14	-	14
ARENDETO	Arendeto		TR	2.00	0.20	0.40	20S	20.00	1.00	20.00	-	NA	NA	NA	-Missing	NA	NA	NA	10RMR	10.00	0.27	2.70	3	-	;	-	12	12
LAKOTA	Lakota		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10MRMS	10.00	0.53	5.30	3+	3+	;22+	26	16	21
LEEDS	Leeds		TR	2.00	0.20	0.40	5MR	5.00	0.40	2.00	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	3+	3+	;22+	20	12	16
KUBANKA	Kubanka		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	30RMR	30.00	0.27	8.10	10R	10.00	0.20	2.00	2+	3+	3	14	18	16
LANGDON	Langdon		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10MR	10.00	0.40	4.00	10RMR	10.00	0.27	2.70	3+	3+	3+	22	12	17
KARKOV	Karkov		20MRMS	20.00	0.53	10.60	-	NA	NA	NA	20 MRMS	20.00	0.53	10.60	40MS	40.00	0.80	32.00	-	NA	NA	NA	3+	3+	0	6	-	6
STEWART_63	Stewart 63		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	ww	NA	NA	NA	10R	10.00	0.20	2.00	;12	3+	22+	30	5	17.5
KYLE	Kyle		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5RMR	5.00	0.27	1.35	TR	2.00	0.20	0.40	3+	3+	3+;	18	14	16
LLOYD	Lloyd		TR	2.00	0.20	0.40	5MRMS	5.00	0.53	2.65	TR	2.00	0.20	0.40	5RMR	5.00	0.27	1.35	30MR	30.00	0.40	12.00	3+	3+	3+;	16	13	14.5
MEDORA	Medora		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10RMR	10.00	0.27	2.70	3	3+	;13	12	12	12
MINDUM	Mindum		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	ww	NA	NA	NA	TR	2.00	0.20	0.40	-	3+	;12	30	19	24.5
VENCEDOR	Vencendor		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	10RMR	10.00	0.27	2.70	10RMR	10.00	0.27	2.70	2+;	3+	;2+3	6	7	6.5
ZERAMEK	Zeramek		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	ww	NA	NA	NA	TR	2.00	0.20	0.40	;2	3+	;	33	19	26
YAVOROS_79	Yavoros 79		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	3+	3+	;22+	12	12	12
