names.geno	Entry	Lines	stp2012	stp2012.sev	stp2012.it	stp2012.coi	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2014.sev	stp2014.it	stp2014.coi	stp2015	stp2015.sev	stp2015.it	stp2015.coi	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
RL6079	TcLr 28	RL 6079	50S	50.00	1.00	50.00	50S	50.00	1.00	50.00	60 S	60.00	1.00	60.00	50S	50.00	1.00	50.00	40MS	40.00	0.80	32.00	0;	;2	3+	6	12	9
RL6080	TcLr 29	RL 6080	TR	2.00	0.20	0.40	5RMR	5.00	0.27	1.35	5 MR	5.00	0.40	2.00	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	;	;	;12-	6	5	5.5
RL6049	TcLr 30	RL 6049	20MS	20.00	0.80	16.00	20MSS	20.00	0.87	17.40	30 MS	30.00	0.80	24.00	30MRMS	30.00	0.53	15.90	50MSS	50.00	0.87	43.50	;22+	;12-	3+	6	12	9
RL6086	TcLr 32	RL 6086	TR	2.00	0.20	0.40	20MRMS	20.00	0.53	10.60	30 MR	30.00	0.40	12.00	10RMR	10.00	0.27	2.70	20MRMS	20.00	0.53	10.60	-	;2	;2	6	5	5.5
RL6057	TcLr 33	RL 6057	20MS	20.00	0.80	16.00	20MRMS	20.00	0.53	10.60	40 MS	40.00	0.80	32.00	30MS	30.00	0.80	24.00	30MRMS	30.00	0.53	15.90	3+	3+	3+	6	12	9
RL6058	TcLr 34	RL 6058	30MS	30.00	0.80	24.00	5MS	5.00	0.80	4.00	40 MSS	40.00	0.87	34.80	30MSS	30.00	0.87	26.10	30MS	30.00	0.80	24.00	3+	3+	3+	6	12	9
RL6082	TcLr 35	RL 6082	5R	5.00	0.20	1.00	5R	5.00	0.20	1.00	10 R	10.00	0.20	2.00	5R	5.00	0.20	1.00	10R	10.00	0.20	2.00	3+	;2+	3+	6	12	9
NEP_MAN	TcLr 36	Nep-Man	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	;	;	;23+	6	5	5.5
RL6081	TcLr 37	RL 6081	40S	40.00	1.00	40.00	30S	30.00	1.00	30.00	70 S	70.00	1.00	70.00	40MRMS	40.00	0.53	21.20	60S	60.00	1.00	60.00	3	3	4	6	6	6
RL6097	TcLr 38	RL 6097	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	20 RMR	20.00	0.27	5.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	;	;	0;	6	5	5.5
RL6147	TcLr 44	RL6147	10RMR	10.00	0.27	2.70	10RMR	10.00	0.27	2.70	50 MR	50.00	0.40	20.00	30MRMS	30.00	0.53	15.90	60MRMS	60.00	0.53	31.80	2+	3	3	6	5	5.5
RL6144	TcLr 45	RL6144	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 MR	10.00	0.40	4.00	10R	10.00	0.20	2.00	10MS	10.00	0.80	8.00	0;	;	;1	6	7	6.5
PAVON_753	Lr47	Pavon 753	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	0;	0;	0;	14	7	10.5
RL6051	TcLr B	RL 6051	70S	70.00	1.00	70.00	60S	60.00	1.00	60.00	70 S	70.00	1.00	70.00	70S	70.00	1.00	70.00	70S	70.00	1.00	70.00	3+	3+	3+	6	7	6.5
F-7-3	Lr51	F-7-3	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	;1-	;	;12-	6	12	9
